Vardas              Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 Egz.                
Vardas3737          Pavarde3737         2                   6                   8                   5                   5                   6                   
Vardas3738          Pavarde3738         6                   4                   10                  6                   2                   10                  
Vardas3739          Pavarde3739         10                  4                   9                   9                   6                   2                   
Vardas3740          Pavarde3740         4                   9                   4                   8                   3                   10                  
Vardas3741          Pavarde3741         1                   8                   6                   10                  5                   5                   
Vardas3742          Pavarde3742         5                   4                   9                   5                   7                   5                   
Vardas3743          Pavarde3743         2                   6                   4                   7                   7                   7                   
Vardas3744          Pavarde3744         1                   1                   4                   3                   6                   10                  
Vardas3745          Pavarde3745         9                   6                   8                   7                   8                   4                   
Vardas3746          Pavarde3746         4                   7                   9                   7                   8                   4                   
Vardas3747          Pavarde3747         6                   8                   3                   9                   9                   2                   
Vardas3748          Pavarde3748         8                   2                   8                   1                   10                  9                   
Vardas3749          Pavarde3749         4                   7                   7                   8                   9                   5                   
Vardas3750          Pavarde3750         8                   1                   3                   8                   1                   6                   
Vardas3751          Pavarde3751         1                   9                   6                   7                   6                   3                   
Vardas3752          Pavarde3752         9                   9                   6                   5                   10                  5                   
Vardas3753          Pavarde3753         9                   8                   4                   9                   8                   10                  
Vardas3754          Pavarde3754         6                   8                   9                   7                   9                   1                   
Vardas3755          Pavarde3755         10                  6                   9                   3                   8                   7                   
Vardas3756          Pavarde3756         5                   6                   2                   8                   1                   10                  
Vardas3757          Pavarde3757         5                   7                   1                   1                   1                   1                   
Vardas3758          Pavarde3758         5                   10                  10                  6                   2                   3                   
Vardas3759          Pavarde3759         4                   6                   3                   6                   3                   3                   
Vardas3760          Pavarde3760         1                   6                   3                   9                   2                   2                   
Vardas3761          Pavarde3761         9                   2                   10                  9                   10                  7                   
Vardas3762          Pavarde3762         9                   4                   1                   10                  2                   6                   
Vardas3763          Pavarde3763         9                   4                   9                   6                   4                   4                   
Vardas3764          Pavarde3764         2                   5                   1                   5                   9                   3                   
Vardas3765          Pavarde3765         1                   7                   2                   8                   3                   4                   
Vardas3766          Pavarde3766         4                   2                   4                   3                   5                   6                   
Vardas3767          Pavarde3767         10                  6                   6                   8                   6                   7                   
Vardas3768          Pavarde3768         3                   9                   9                   1                   8                   4                   
Vardas3769          Pavarde3769         10                  1                   3                   4                   7                   6                   
Vardas3770          Pavarde3770         8                   6                   4                   4                   10                  9                   
Vardas3771          Pavarde3771         3                   4                   9                   2                   9                   1                   
Vardas3772          Pavarde3772         10                  5                   3                   9                   4                   5                   
Vardas3773          Pavarde3773         9                   6                   10                  3                   3                   5                   
Vardas3774          Pavarde3774         7                   2                   2                   6                   3                   5                   
Vardas3775          Pavarde3775         5                   10                  1                   8                   7                   3                   
Vardas3776          Pavarde3776         5                   3                   6                   2                   10                  4                   
Vardas3777          Pavarde3777         8                   9                   5                   6                   2                   8                   
Vardas3778          Pavarde3778         3                   5                   5                   7                   4                   7                   
Vardas3779          Pavarde3779         10                  8                   4                   2                   7                   7                   
Vardas3780          Pavarde3780         2                   3                   3                   1                   5                   9                   
Vardas3781          Pavarde3781         6                   9                   9                   4                   3                   6                   
Vardas3782          Pavarde3782         3                   6                   5                   1                   8                   4                   
Vardas3783          Pavarde3783         1                   5                   5                   6                   1                   3                   
Vardas3784          Pavarde3784         10                  7                   8                   6                   5                   8                   
Vardas3785          Pavarde3785         5                   10                  8                   5                   10                  8                   
Vardas3786          Pavarde3786         2                   1                   1                   1                   10                  5                   
Vardas3787          Pavarde3787         4                   7                   4                   7                   1                   2                   
Vardas3788          Pavarde3788         1                   1                   5                   7                   9                   4                   
Vardas3789          Pavarde3789         8                   1                   3                   7                   5                   8                   
Vardas3790          Pavarde3790         10                  9                   1                   8                   1                   8                   
Vardas3791          Pavarde3791         3                   8                   7                   3                   2                   1                   
Vardas3792          Pavarde3792         6                   9                   10                  8                   1                   7                   
Vardas3793          Pavarde3793         1                   5                   2                   2                   1                   3                   
Vardas3794          Pavarde3794         7                   7                   1                   7                   8                   7                   
Vardas3795          Pavarde3795         8                   7                   3                   6                   4                   10                  
Vardas3796          Pavarde3796         5                   6                   10                  5                   2                   9                   
Vardas3797          Pavarde3797         4                   9                   9                   4                   1                   4                   
Vardas3798          Pavarde3798         4                   10                  2                   4                   1                   3                   
Vardas3799          Pavarde3799         10                  4                   9                   8                   7                   7                   
Vardas3800          Pavarde3800         3                   3                   6                   8                   6                   6                   
Vardas3801          Pavarde3801         7                   7                   4                   3                   4                   5                   
Vardas3802          Pavarde3802         2                   1                   6                   6                   5                   2                   
Vardas3803          Pavarde3803         2                   5                   3                   3                   10                  10                  
Vardas3804          Pavarde3804         7                   10                  5                   2                   10                  10                  
Vardas3805          Pavarde3805         6                   2                   5                   2                   9                   7                   
Vardas3806          Pavarde3806         1                   6                   5                   5                   7                   9                   
Vardas3807          Pavarde3807         3                   7                   9                   10                  1                   7                   
Vardas3808          Pavarde3808         6                   10                  5                   1                   5                   8                   
Vardas3809          Pavarde3809         8                   6                   7                   4                   9                   10                  
Vardas3810          Pavarde3810         6                   5                   1                   10                  7                   2                   
Vardas3811          Pavarde3811         3                   5                   9                   3                   4                   4                   
Vardas3812          Pavarde3812         6                   7                   8                   8                   9                   10                  
Vardas3813          Pavarde3813         6                   5                   3                   4                   9                   7                   
Vardas3814          Pavarde3814         10                  8                   7                   4                   3                   3                   
Vardas3815          Pavarde3815         3                   2                   9                   3                   5                   3                   
Vardas3816          Pavarde3816         1                   1                   1                   7                   4                   2                   
Vardas3817          Pavarde3817         3                   4                   10                  3                   5                   9                   
Vardas3818          Pavarde3818         2                   1                   3                   8                   8                   6                   
Vardas3819          Pavarde3819         5                   10                  5                   4                   4                   3                   
Vardas3820          Pavarde3820         2                   4                   6                   6                   9                   1                   
Vardas3821          Pavarde3821         1                   1                   10                  9                   7                   7                   
Vardas3822          Pavarde3822         7                   8                   7                   7                   6                   7                   
Vardas3823          Pavarde3823         1                   9                   1                   10                  6                   10                  
Vardas3824          Pavarde3824         5                   5                   3                   10                  1                   7                   
Vardas3825          Pavarde3825         6                   5                   6                   1                   7                   4                   
Vardas3826          Pavarde3826         5                   1                   2                   1                   2                   3                   
Vardas3827          Pavarde3827         10                  6                   9                   4                   5                   5                   
Vardas3828          Pavarde3828         8                   4                   3                   4                   2                   9                   
Vardas3829          Pavarde3829         6                   1                   2                   7                   10                  2                   
Vardas3830          Pavarde3830         4                   1                   7                   9                   7                   2                   
Vardas3831          Pavarde3831         6                   7                   3                   7                   9                   4                   
Vardas3832          Pavarde3832         9                   3                   1                   2                   2                   2                   
Vardas3833          Pavarde3833         5                   2                   6                   9                   6                   10                  
Vardas3834          Pavarde3834         7                   1                   3                   7                   7                   10                  
Vardas3835          Pavarde3835         6                   7                   6                   7                   2                   4                   
Vardas3836          Pavarde3836         1                   4                   6                   3                   1                   10                  
Vardas3837          Pavarde3837         5                   6                   6                   7                   9                   4                   
Vardas3838          Pavarde3838         10                  2                   1                   2                   3                   6                   
Vardas3839          Pavarde3839         1                   10                  7                   2                   10                  4                   
Vardas3840          Pavarde3840         9                   9                   2                   7                   7                   10                  
Vardas3841          Pavarde3841         3                   2                   3                   1                   6                   10                  
Vardas3842          Pavarde3842         2                   10                  5                   5                   7                   8                   
Vardas3843          Pavarde3843         1                   5                   10                  1                   7                   5                   
Vardas3844          Pavarde3844         4                   9                   8                   5                   4                   4                   
Vardas3845          Pavarde3845         4                   7                   5                   1                   10                  1                   
Vardas3846          Pavarde3846         5                   2                   5                   8                   1                   7                   
Vardas3847          Pavarde3847         9                   1                   4                   7                   2                   7                   
Vardas3848          Pavarde3848         7                   1                   8                   7                   5                   1                   
Vardas3849          Pavarde3849         1                   3                   9                   5                   2                   9                   
Vardas3850          Pavarde3850         6                   4                   2                   3                   3                   6                   
Vardas3851          Pavarde3851         1                   6                   1                   7                   8                   8                   
Vardas3852          Pavarde3852         2                   2                   4                   9                   3                   8                   
Vardas3853          Pavarde3853         2                   3                   8                   2                   3                   4                   
Vardas3854          Pavarde3854         9                   8                   10                  8                   7                   8                   
Vardas3855          Pavarde3855         8                   5                   7                   6                   1                   5                   
Vardas3856          Pavarde3856         4                   10                  8                   4                   7                   8                   
Vardas3857          Pavarde3857         3                   7                   1                   9                   8                   4                   
Vardas3858          Pavarde3858         1                   8                   8                   3                   7                   5                   
Vardas3859          Pavarde3859         6                   1                   9                   1                   8                   8                   
Vardas3860          Pavarde3860         10                  4                   5                   2                   7                   8                   
Vardas3861          Pavarde3861         10                  3                   6                   3                   4                   1                   
Vardas3862          Pavarde3862         7                   3                   9                   4                   4                   5                   
Vardas3863          Pavarde3863         10                  5                   10                  3                   1                   3                   
Vardas3864          Pavarde3864         8                   7                   6                   5                   9                   9                   
Vardas3865          Pavarde3865         8                   2                   2                   9                   3                   4                   
Vardas3866          Pavarde3866         6                   1                   2                   10                  1                   1                   
Vardas3867          Pavarde3867         4                   2                   4                   2                   6                   7                   
Vardas3868          Pavarde3868         1                   10                  6                   7                   1                   7                   
Vardas3869          Pavarde3869         4                   4                   9                   6                   1                   9                   
Vardas3870          Pavarde3870         9                   4                   6                   7                   5                   10                  
Vardas3871          Pavarde3871         2                   8                   2                   7                   3                   10                  
Vardas3872          Pavarde3872         5                   7                   3                   10                  6                   10                  
Vardas3873          Pavarde3873         1                   5                   2                   10                  9                   10                  
Vardas3874          Pavarde3874         9                   10                  10                  3                   10                  6                   
Vardas3875          Pavarde3875         3                   8                   9                   3                   4                   1                   
Vardas3876          Pavarde3876         7                   10                  8                   4                   4                   6                   
Vardas3877          Pavarde3877         4                   9                   10                  4                   4                   8                   
Vardas3878          Pavarde3878         3                   6                   10                  9                   9                   7                   
Vardas3879          Pavarde3879         7                   10                  2                   4                   10                  6                   
Vardas3880          Pavarde3880         3                   7                   3                   8                   1                   9                   
Vardas3881          Pavarde3881         1                   9                   6                   3                   5                   7                   
Vardas3882          Pavarde3882         10                  9                   8                   1                   6                   8                   
Vardas3883          Pavarde3883         7                   9                   3                   3                   10                  5                   
Vardas3884          Pavarde3884         6                   8                   2                   4                   5                   10                  
Vardas3885          Pavarde3885         1                   9                   9                   2                   2                   7                   
Vardas3886          Pavarde3886         5                   3                   2                   8                   10                  9                   
Vardas3887          Pavarde3887         4                   10                  10                  1                   8                   3                   
Vardas3888          Pavarde3888         9                   7                   9                   5                   7                   7                   
Vardas3889          Pavarde3889         7                   2                   7                   6                   7                   9                   
Vardas3890          Pavarde3890         10                  1                   1                   3                   1                   2                   
Vardas3891          Pavarde3891         10                  10                  1                   3                   1                   6                   
Vardas3892          Pavarde3892         2                   10                  5                   9                   10                  2                   
Vardas3893          Pavarde3893         5                   7                   2                   9                   5                   4                   
Vardas3894          Pavarde3894         9                   4                   4                   7                   9                   9                   
Vardas3895          Pavarde3895         3                   10                  5                   7                   9                   8                   
Vardas3896          Pavarde3896         9                   1                   5                   2                   9                   4                   
Vardas3897          Pavarde3897         10                  4                   10                  3                   5                   1                   
Vardas3898          Pavarde3898         10                  6                   4                   7                   3                   5                   
Vardas3899          Pavarde3899         2                   3                   1                   2                   4                   4                   
Vardas3900          Pavarde3900         10                  1                   4                   10                  6                   6                   
Vardas3901          Pavarde3901         8                   10                  8                   1                   6                   2                   
Vardas3902          Pavarde3902         4                   4                   6                   6                   1                   6                   
Vardas3903          Pavarde3903         6                   7                   8                   3                   10                  10                  
Vardas3904          Pavarde3904         8                   8                   7                   9                   6                   5                   
Vardas3905          Pavarde3905         8                   9                   2                   8                   4                   9                   
Vardas3906          Pavarde3906         3                   5                   1                   9                   6                   10                  
Vardas3907          Pavarde3907         1                   6                   8                   7                   5                   3                   
Vardas3908          Pavarde3908         2                   7                   10                  3                   10                  1                   
Vardas3909          Pavarde3909         7                   3                   9                   6                   3                   2                   
Vardas3910          Pavarde3910         2                   2                   1                   3                   1                   3                   
Vardas3911          Pavarde3911         8                   5                   7                   4                   9                   2                   
Vardas3912          Pavarde3912         3                   5                   7                   6                   9                   6                   
Vardas3913          Pavarde3913         4                   8                   5                   7                   6                   8                   
Vardas3914          Pavarde3914         8                   8                   2                   8                   4                   5                   
Vardas3915          Pavarde3915         3                   3                   7                   1                   10                  5                   
Vardas3916          Pavarde3916         5                   10                  10                  3                   8                   1                   
Vardas3917          Pavarde3917         7                   4                   3                   3                   5                   2                   
Vardas3918          Pavarde3918         1                   1                   8                   3                   6                   9                   
Vardas3919          Pavarde3919         7                   7                   8                   6                   1                   4                   
Vardas3920          Pavarde3920         9                   3                   1                   9                   3                   8                   
Vardas3921          Pavarde3921         4                   10                  4                   7                   9                   8                   
Vardas3922          Pavarde3922         9                   3                   10                  1                   10                  10                  
Vardas3923          Pavarde3923         4                   6                   8                   6                   8                   7                   
Vardas3924          Pavarde3924         8                   1                   9                   4                   5                   9                   
Vardas3925          Pavarde3925         9                   4                   6                   1                   4                   6                   
Vardas3926          Pavarde3926         2                   3                   5                   5                   10                  9                   
Vardas3927          Pavarde3927         10                  3                   9                   2                   5                   6                   
Vardas3928          Pavarde3928         7                   10                  5                   2                   6                   6                   
Vardas3929          Pavarde3929         1                   3                   6                   7                   4                   6                   
Vardas3930          Pavarde3930         1                   1                   2                   10                  4                   4                   
Vardas3931          Pavarde3931         6                   1                   1                   1                   6                   10                  
Vardas3932          Pavarde3932         3                   7                   8                   2                   2                   6                   
Vardas3933          Pavarde3933         3                   4                   10                  7                   3                   4                   
Vardas3934          Pavarde3934         1                   3                   6                   7                   4                   10                  
Vardas3935          Pavarde3935         5                   5                   2                   8                   10                  9                   
Vardas3936          Pavarde3936         4                   7                   7                   3                   7                   6                   
Vardas3937          Pavarde3937         8                   7                   2                   3                   10                  9                   
Vardas3938          Pavarde3938         7                   8                   6                   5                   10                  8                   
Vardas3939          Pavarde3939         5                   6                   4                   9                   6                   9                   
Vardas3940          Pavarde3940         5                   8                   4                   4                   4                   3                   
Vardas3941          Pavarde3941         7                   1                   4                   5                   4                   10                  
Vardas3942          Pavarde3942         6                   2                   4                   5                   5                   3                   
Vardas3943          Pavarde3943         5                   6                   5                   3                   9                   4                   
Vardas3944          Pavarde3944         4                   5                   5                   4                   1                   1                   
Vardas3945          Pavarde3945         9                   2                   7                   3                   10                  10                  
Vardas3946          Pavarde3946         5                   5                   4                   9                   7                   9                   
Vardas3947          Pavarde3947         4                   1                   1                   10                  7                   9                   
Vardas3948          Pavarde3948         6                   6                   10                  5                   5                   5                   
Vardas3949          Pavarde3949         9                   3                   6                   8                   2                   9                   
Vardas3950          Pavarde3950         10                  1                   8                   9                   6                   7                   
Vardas3951          Pavarde3951         10                  3                   6                   6                   9                   4                   
Vardas3952          Pavarde3952         1                   10                  6                   1                   8                   9                   
Vardas3953          Pavarde3953         4                   1                   9                   10                  3                   6                   
Vardas3954          Pavarde3954         2                   6                   7                   5                   8                   2                   
Vardas3955          Pavarde3955         5                   8                   7                   6                   8                   9                   
Vardas3956          Pavarde3956         4                   9                   9                   2                   6                   4                   
Vardas3957          Pavarde3957         4                   10                  2                   1                   3                   2                   
Vardas3958          Pavarde3958         1                   9                   8                   6                   8                   7                   
Vardas3959          Pavarde3959         5                   10                  10                  6                   4                   5                   
Vardas3960          Pavarde3960         2                   3                   9                   10                  4                   10                  
Vardas3961          Pavarde3961         6                   3                   9                   2                   8                   3                   
Vardas3962          Pavarde3962         1                   6                   9                   4                   4                   7                   
Vardas3963          Pavarde3963         1                   4                   10                  2                   9                   9                   
Vardas3964          Pavarde3964         1                   1                   8                   4                   4                   5                   
Vardas3965          Pavarde3965         5                   3                   8                   6                   5                   9                   
Vardas3966          Pavarde3966         1                   9                   1                   1                   7                   10                  
Vardas3967          Pavarde3967         8                   7                   2                   8                   5                   8                   
Vardas3968          Pavarde3968         7                   4                   4                   8                   3                   7                   
Vardas3969          Pavarde3969         8                   2                   6                   7                   7                   9                   
Vardas3970          Pavarde3970         6                   6                   7                   8                   2                   3                   
Vardas3971          Pavarde3971         6                   5                   4                   6                   6                   3                   
Vardas3972          Pavarde3972         2                   1                   10                  1                   7                   6                   
Vardas3973          Pavarde3973         4                   5                   6                   4                   8                   7                   
Vardas3974          Pavarde3974         6                   4                   6                   6                   6                   3                   
Vardas3975          Pavarde3975         4                   9                   10                  2                   8                   8                   
Vardas3976          Pavarde3976         2                   6                   9                   1                   5                   1                   
Vardas3977          Pavarde3977         8                   6                   9                   1                   6                   9                   
Vardas3978          Pavarde3978         6                   9                   2                   10                  3                   3                   
Vardas3979          Pavarde3979         8                   7                   5                   7                   2                   7                   
Vardas3980          Pavarde3980         7                   7                   3                   10                  10                  5                   
Vardas3981          Pavarde3981         3                   8                   1                   8                   5                   2                   
Vardas3982          Pavarde3982         2                   10                  8                   1                   2                   9                   
Vardas3983          Pavarde3983         3                   10                  3                   3                   9                   10                  
Vardas3984          Pavarde3984         7                   8                   3                   9                   3                   6                   
Vardas3985          Pavarde3985         3                   4                   6                   1                   8                   5                   
Vardas3986          Pavarde3986         6                   5                   5                   9                   9                   3                   
Vardas3987          Pavarde3987         1                   6                   10                  4                   1                   4                   
Vardas3988          Pavarde3988         5                   4                   8                   7                   2                   8                   
Vardas3989          Pavarde3989         2                   9                   5                   4                   6                   4                   
Vardas3990          Pavarde3990         8                   10                  6                   4                   7                   7                   
Vardas3991          Pavarde3991         8                   7                   4                   1                   7                   5                   
Vardas3992          Pavarde3992         10                  2                   7                   8                   1                   6                   
Vardas3993          Pavarde3993         7                   2                   6                   5                   8                   8                   
Vardas3994          Pavarde3994         3                   9                   3                   1                   7                   5                   
Vardas3995          Pavarde3995         10                  9                   2                   4                   10                  5                   
Vardas3996          Pavarde3996         7                   6                   5                   9                   8                   1                   
Vardas3997          Pavarde3997         2                   7                   2                   3                   6                   5                   
Vardas3998          Pavarde3998         5                   2                   7                   6                   9                   7                   
Vardas3999          Pavarde3999         10                  1                   2                   10                  5                   2                   
Vardas4000          Pavarde4000         3                   1                   3                   6                   3                   2                   
Vardas4001          Pavarde4001         6                   2                   10                  9                   10                  2                   
Vardas4002          Pavarde4002         8                   1                   1                   10                  9                   6                   
Vardas4003          Pavarde4003         3                   9                   6                   6                   2                   6                   
Vardas4004          Pavarde4004         4                   5                   1                   2                   2                   2                   
Vardas4005          Pavarde4005         6                   2                   7                   8                   1                   3                   
Vardas4006          Pavarde4006         3                   2                   3                   6                   1                   7                   
Vardas4007          Pavarde4007         10                  4                   9                   4                   5                   10                  
Vardas4008          Pavarde4008         1                   8                   5                   7                   4                   2                   
Vardas4009          Pavarde4009         9                   1                   9                   4                   10                  4                   
Vardas4010          Pavarde4010         5                   3                   7                   3                   3                   1                   
Vardas4011          Pavarde4011         3                   8                   2                   2                   1                   5                   
Vardas4012          Pavarde4012         6                   2                   9                   3                   5                   8                   
Vardas4013          Pavarde4013         1                   6                   8                   1                   3                   2                   
Vardas4014          Pavarde4014         9                   4                   9                   8                   1                   5                   
