Vardas              Pavarde             ND1                 ND2                 Egz.                
Vardas607           Pavarde607          2                   4                   7                   
Vardas608           Pavarde608          9                   4                   6                   
Vardas609           Pavarde609          6                   5                   7                   
Vardas610           Pavarde610          6                   7                   7                   
Vardas611           Pavarde611          4                   4                   1                   
Vardas612           Pavarde612          3                   3                   2                   
Vardas613           Pavarde613          5                   10                  9                   
Vardas614           Pavarde614          2                   10                  7                   
Vardas615           Pavarde615          8                   10                  4                   
Vardas616           Pavarde616          4                   2                   8                   
Vardas617           Pavarde617          7                   7                   8                   
Vardas618           Pavarde618          4                   9                   7                   
Vardas619           Pavarde619          6                   1                   5                   
Vardas620           Pavarde620          2                   8                   2                   
Vardas621           Pavarde621          3                   4                   9                   
Vardas622           Pavarde622          8                   3                   4                   
Vardas623           Pavarde623          1                   4                   6                   
Vardas624           Pavarde624          5                   6                   10                  
Vardas625           Pavarde625          8                   8                   5                   
Vardas626           Pavarde626          1                   10                  6                   
Vardas627           Pavarde627          1                   10                  2                   
Vardas628           Pavarde628          10                  4                   7                   
Vardas629           Pavarde629          3                   7                   10                  
Vardas630           Pavarde630          5                   4                   2                   
Vardas631           Pavarde631          9                   1                   1                   
Vardas632           Pavarde632          8                   1                   1                   
Vardas633           Pavarde633          10                  1                   4                   
Vardas634           Pavarde634          4                   6                   2                   
Vardas635           Pavarde635          8                   4                   8                   
Vardas636           Pavarde636          3                   3                   8                   
Vardas637           Pavarde637          5                   10                  4                   
Vardas638           Pavarde638          3                   9                   6                   
Vardas639           Pavarde639          6                   7                   5                   
Vardas640           Pavarde640          3                   2                   2                   
Vardas641           Pavarde641          2                   10                  4                   
Vardas642           Pavarde642          5                   3                   6                   
Vardas643           Pavarde643          8                   9                   5                   
Vardas644           Pavarde644          3                   2                   8                   
Vardas645           Pavarde645          3                   10                  8                   
Vardas646           Pavarde646          7                   6                   2                   
Vardas647           Pavarde647          4                   9                   8                   
Vardas648           Pavarde648          10                  8                   3                   
Vardas649           Pavarde649          6                   8                   6                   
Vardas650           Pavarde650          6                   10                  4                   
Vardas651           Pavarde651          5                   1                   7                   
Vardas652           Pavarde652          3                   2                   8                   
Vardas653           Pavarde653          2                   1                   9                   
Vardas654           Pavarde654          4                   10                  9                   
Vardas655           Pavarde655          3                   2                   8                   
Vardas656           Pavarde656          8                   10                  7                   
Vardas657           Pavarde657          1                   9                   6                   
Vardas658           Pavarde658          4                   7                   5                   
Vardas659           Pavarde659          9                   6                   1                   
Vardas660           Pavarde660          2                   1                   4                   
Vardas661           Pavarde661          10                  5                   3                   
Vardas662           Pavarde662          3                   9                   4                   
Vardas663           Pavarde663          8                   7                   6                   
Vardas664           Pavarde664          8                   5                   5                   
Vardas665           Pavarde665          10                  6                   3                   
Vardas666           Pavarde666          5                   7                   7                   
Vardas667           Pavarde667          6                   1                   6                   
Vardas668           Pavarde668          7                   3                   6                   
Vardas669           Pavarde669          8                   5                   4                   
Vardas670           Pavarde670          3                   1                   7                   
Vardas671           Pavarde671          2                   4                   7                   
Vardas672           Pavarde672          1                   5                   8                   
Vardas673           Pavarde673          7                   6                   9                   
Vardas674           Pavarde674          4                   7                   6                   
Vardas675           Pavarde675          2                   1                   6                   
Vardas676           Pavarde676          1                   5                   8                   
Vardas677           Pavarde677          4                   2                   4                   
Vardas678           Pavarde678          2                   7                   9                   
Vardas679           Pavarde679          1                   10                  8                   
Vardas680           Pavarde680          4                   10                  1                   
Vardas681           Pavarde681          5                   9                   4                   
Vardas682           Pavarde682          8                   3                   9                   
Vardas683           Pavarde683          8                   2                   1                   
Vardas684           Pavarde684          3                   5                   10                  
Vardas685           Pavarde685          2                   10                  7                   
Vardas686           Pavarde686          4                   5                   1                   
Vardas687           Pavarde687          4                   9                   8                   
Vardas688           Pavarde688          9                   6                   8                   
Vardas689           Pavarde689          6                   9                   4                   
Vardas690           Pavarde690          8                   9                   5                   
Vardas691           Pavarde691          7                   4                   3                   
Vardas692           Pavarde692          3                   7                   5                   
Vardas693           Pavarde693          3                   10                  6                   
Vardas694           Pavarde694          7                   1                   6                   
Vardas695           Pavarde695          6                   4                   4                   
Vardas696           Pavarde696          10                  5                   1                   
Vardas697           Pavarde697          9                   4                   7                   
Vardas698           Pavarde698          5                   9                   3                   
Vardas699           Pavarde699          2                   7                   3                   
Vardas700           Pavarde700          5                   7                   3                   
Vardas701           Pavarde701          3                   9                   3                   
Vardas702           Pavarde702          7                   3                   6                   
Vardas703           Pavarde703          5                   10                  8                   
Vardas704           Pavarde704          5                   2                   3                   
Vardas705           Pavarde705          1                   6                   4                   
Vardas706           Pavarde706          8                   4                   3                   
Vardas707           Pavarde707          2                   4                   2                   
Vardas708           Pavarde708          9                   10                  10                  
Vardas709           Pavarde709          8                   1                   10                  
Vardas710           Pavarde710          6                   9                   8                   
Vardas711           Pavarde711          1                   1                   5                   
Vardas712           Pavarde712          2                   5                   4                   
Vardas713           Pavarde713          7                   8                   8                   
Vardas714           Pavarde714          1                   4                   10                  
Vardas715           Pavarde715          7                   5                   6                   
Vardas716           Pavarde716          2                   7                   6                   
Vardas717           Pavarde717          3                   2                   2                   
Vardas718           Pavarde718          9                   2                   3                   
Vardas719           Pavarde719          4                   8                   7                   
Vardas720           Pavarde720          4                   8                   10                  
Vardas721           Pavarde721          6                   2                   5                   
Vardas722           Pavarde722          10                  9                   8                   
Vardas723           Pavarde723          2                   1                   2                   
Vardas724           Pavarde724          5                   6                   10                  
Vardas725           Pavarde725          1                   2                   1                   
Vardas726           Pavarde726          2                   1                   3                   
Vardas727           Pavarde727          5                   2                   10                  
Vardas728           Pavarde728          10                  8                   6                   
Vardas729           Pavarde729          9                   3                   3                   
Vardas730           Pavarde730          7                   8                   7                   
Vardas731           Pavarde731          8                   9                   2                   
Vardas732           Pavarde732          8                   1                   4                   
Vardas733           Pavarde733          7                   4                   9                   
Vardas734           Pavarde734          6                   8                   8                   
Vardas735           Pavarde735          1                   9                   9                   
Vardas736           Pavarde736          1                   6                   10                  
Vardas737           Pavarde737          8                   8                   8                   
Vardas738           Pavarde738          10                  2                   6                   
Vardas739           Pavarde739          7                   7                   3                   
Vardas740           Pavarde740          10                  5                   1                   
Vardas741           Pavarde741          2                   8                   3                   
Vardas742           Pavarde742          2                   4                   8                   
Vardas743           Pavarde743          1                   2                   6                   
Vardas744           Pavarde744          4                   1                   1                   
Vardas745           Pavarde745          9                   5                   9                   
Vardas746           Pavarde746          10                  9                   7                   
Vardas747           Pavarde747          1                   6                   7                   
Vardas748           Pavarde748          2                   4                   9                   
Vardas749           Pavarde749          8                   7                   10                  
Vardas750           Pavarde750          6                   6                   3                   
Vardas751           Pavarde751          6                   3                   3                   
Vardas752           Pavarde752          10                  6                   9                   
Vardas753           Pavarde753          8                   10                  10                  
Vardas754           Pavarde754          6                   10                  9                   
Vardas755           Pavarde755          4                   6                   2                   
Vardas756           Pavarde756          1                   4                   10                  
Vardas757           Pavarde757          6                   5                   6                   
Vardas758           Pavarde758          8                   2                   5                   
Vardas759           Pavarde759          9                   6                   9                   
Vardas760           Pavarde760          8                   7                   7                   
Vardas761           Pavarde761          7                   1                   3                   
Vardas762           Pavarde762          1                   10                  1                   
Vardas763           Pavarde763          6                   2                   1                   
Vardas764           Pavarde764          3                   3                   3                   
Vardas765           Pavarde765          4                   1                   4                   
Vardas766           Pavarde766          2                   1                   3                   
Vardas767           Pavarde767          2                   5                   6                   
Vardas768           Pavarde768          4                   1                   10                  
Vardas769           Pavarde769          2                   6                   10                  
Vardas770           Pavarde770          7                   1                   10                  
Vardas771           Pavarde771          7                   7                   1                   
Vardas772           Pavarde772          7                   8                   10                  
Vardas773           Pavarde773          1                   4                   5                   
Vardas774           Pavarde774          7                   4                   8                   
Vardas775           Pavarde775          8                   1                   4                   
Vardas776           Pavarde776          6                   10                  7                   
Vardas777           Pavarde777          5                   8                   2                   
Vardas778           Pavarde778          1                   5                   2                   
Vardas779           Pavarde779          2                   2                   5                   
Vardas780           Pavarde780          4                   8                   9                   
Vardas781           Pavarde781          8                   10                  3                   
Vardas782           Pavarde782          10                  4                   2                   
Vardas783           Pavarde783          7                   3                   6                   
Vardas784           Pavarde784          3                   7                   8                   
Vardas785           Pavarde785          10                  7                   6                   
Vardas786           Pavarde786          5                   4                   8                   
Vardas787           Pavarde787          7                   6                   8                   
Vardas788           Pavarde788          3                   1                   2                   
Vardas789           Pavarde789          9                   7                   6                   
Vardas790           Pavarde790          8                   9                   10                  
Vardas791           Pavarde791          6                   10                  8                   
Vardas792           Pavarde792          8                   3                   1                   
Vardas793           Pavarde793          4                   10                  7                   
Vardas794           Pavarde794          4                   6                   5                   
Vardas795           Pavarde795          7                   3                   1                   
Vardas796           Pavarde796          2                   2                   5                   
Vardas797           Pavarde797          3                   9                   5                   
Vardas798           Pavarde798          6                   2                   7                   
Vardas799           Pavarde799          8                   4                   3                   
Vardas800           Pavarde800          10                  5                   4                   
Vardas801           Pavarde801          1                   9                   8                   
Vardas802           Pavarde802          2                   10                  7                   
Vardas803           Pavarde803          4                   7                   8                   
Vardas804           Pavarde804          10                  5                   1                   
Vardas805           Pavarde805          1                   7                   8                   
Vardas806           Pavarde806          10                  1                   4                   
Vardas807           Pavarde807          4                   5                   7                   
Vardas808           Pavarde808          4                   7                   5                   
Vardas809           Pavarde809          8                   3                   3                   
Vardas810           Pavarde810          3                   3                   9                   
Vardas811           Pavarde811          10                  9                   2                   
Vardas812           Pavarde812          8                   2                   3                   
Vardas813           Pavarde813          6                   4                   8                   
Vardas814           Pavarde814          2                   2                   3                   
Vardas815           Pavarde815          9                   4                   1                   
Vardas816           Pavarde816          4                   9                   4                   
Vardas817           Pavarde817          6                   5                   1                   
Vardas818           Pavarde818          6                   9                   6                   
Vardas819           Pavarde819          10                  7                   8                   
Vardas820           Pavarde820          6                   2                   3                   
Vardas821           Pavarde821          9                   1                   2                   
Vardas822           Pavarde822          9                   8                   10                  
Vardas823           Pavarde823          3                   3                   10                  
Vardas824           Pavarde824          10                  2                   10                  
Vardas825           Pavarde825          6                   6                   2                   
Vardas826           Pavarde826          9                   3                   1                   
Vardas827           Pavarde827          6                   9                   1                   
Vardas828           Pavarde828          4                   4                   1                   
Vardas829           Pavarde829          1                   6                   8                   
Vardas830           Pavarde830          10                  7                   10                  
Vardas831           Pavarde831          2                   10                  4                   
Vardas832           Pavarde832          10                  6                   3                   
Vardas833           Pavarde833          3                   2                   2                   
Vardas834           Pavarde834          10                  6                   4                   
Vardas835           Pavarde835          9                   5                   7                   
Vardas836           Pavarde836          8                   3                   5                   
Vardas837           Pavarde837          9                   10                  7                   
Vardas838           Pavarde838          5                   5                   2                   
Vardas839           Pavarde839          3                   8                   5                   
Vardas840           Pavarde840          6                   10                  4                   
Vardas841           Pavarde841          7                   6                   2                   
Vardas842           Pavarde842          2                   7                   6                   
Vardas843           Pavarde843          4                   6                   10                  
Vardas844           Pavarde844          7                   8                   7                   
Vardas845           Pavarde845          2                   3                   3                   
Vardas846           Pavarde846          7                   5                   9                   
Vardas847           Pavarde847          2                   7                   5                   
Vardas848           Pavarde848          2                   6                   2                   
Vardas849           Pavarde849          7                   4                   3                   
Vardas850           Pavarde850          2                   6                   3                   
Vardas851           Pavarde851          1                   8                   4                   
Vardas852           Pavarde852          7                   9                   7                   
Vardas853           Pavarde853          6                   9                   4                   
Vardas854           Pavarde854          2                   7                   1                   
Vardas855           Pavarde855          7                   6                   1                   
Vardas856           Pavarde856          4                   2                   3                   
Vardas857           Pavarde857          8                   10                  5                   
Vardas858           Pavarde858          5                   6                   1                   
Vardas859           Pavarde859          1                   2                   1                   
Vardas860           Pavarde860          1                   5                   5                   
Vardas861           Pavarde861          4                   4                   5                   
Vardas862           Pavarde862          2                   9                   2                   
Vardas863           Pavarde863          9                   6                   1                   
Vardas864           Pavarde864          3                   10                  1                   
Vardas865           Pavarde865          8                   9                   5                   
Vardas866           Pavarde866          4                   10                  3                   
Vardas867           Pavarde867          9                   3                   3                   
Vardas868           Pavarde868          9                   9                   4                   
Vardas869           Pavarde869          2                   7                   4                   
Vardas870           Pavarde870          9                   2                   6                   
Vardas871           Pavarde871          3                   7                   5                   
Vardas872           Pavarde872          2                   4                   5                   
Vardas873           Pavarde873          6                   2                   2                   
Vardas874           Pavarde874          1                   7                   3                   
Vardas875           Pavarde875          4                   5                   7                   
Vardas876           Pavarde876          6                   10                  6                   
Vardas877           Pavarde877          4                   1                   5                   
Vardas878           Pavarde878          1                   2                   9                   
Vardas879           Pavarde879          3                   4                   10                  
Vardas880           Pavarde880          7                   8                   5                   
Vardas881           Pavarde881          8                   4                   5                   
Vardas882           Pavarde882          8                   1                   8                   
Vardas883           Pavarde883          1                   7                   3                   
Vardas884           Pavarde884          6                   10                  8                   
Vardas885           Pavarde885          6                   6                   8                   
Vardas886           Pavarde886          8                   1                   9                   
Vardas887           Pavarde887          2                   8                   9                   
Vardas888           Pavarde888          9                   7                   7                   
Vardas889           Pavarde889          4                   6                   10                  
Vardas890           Pavarde890          1                   8                   10                  
Vardas891           Pavarde891          2                   9                   3                   
Vardas892           Pavarde892          3                   10                  2                   
Vardas893           Pavarde893          3                   4                   2                   
Vardas894           Pavarde894          7                   3                   3                   
Vardas895           Pavarde895          5                   7                   4                   
Vardas896           Pavarde896          6                   9                   3                   
Vardas897           Pavarde897          7                   3                   9                   
Vardas898           Pavarde898          4                   3                   2                   
Vardas899           Pavarde899          6                   9                   9                   
Vardas900           Pavarde900          9                   5                   9                   
Vardas901           Pavarde901          2                   7                   5                   
Vardas902           Pavarde902          8                   4                   2                   
Vardas903           Pavarde903          1                   7                   2                   
Vardas904           Pavarde904          9                   1                   3                   
Vardas905           Pavarde905          10                  7                   5                   
Vardas906           Pavarde906          2                   3                   2                   
Vardas907           Pavarde907          8                   6                   1                   
Vardas908           Pavarde908          7                   3                   1                   
Vardas909           Pavarde909          1                   5                   2                   
Vardas910           Pavarde910          1                   9                   3                   
Vardas911           Pavarde911          8                   8                   5                   
Vardas912           Pavarde912          9                   9                   2                   
Vardas913           Pavarde913          7                   6                   5                   
Vardas914           Pavarde914          7                   6                   9                   
Vardas915           Pavarde915          2                   8                   2                   
Vardas916           Pavarde916          5                   9                   6                   
Vardas917           Pavarde917          10                  2                   2                   
Vardas918           Pavarde918          7                   1                   4                   
Vardas919           Pavarde919          10                  2                   1                   
Vardas920           Pavarde920          9                   9                   3                   
Vardas921           Pavarde921          1                   3                   7                   
Vardas922           Pavarde922          7                   3                   8                   
Vardas923           Pavarde923          1                   8                   10                  
Vardas924           Pavarde924          6                   4                   10                  
Vardas925           Pavarde925          5                   7                   8                   
Vardas926           Pavarde926          6                   2                   1                   
Vardas927           Pavarde927          10                  10                  7                   
Vardas928           Pavarde928          2                   9                   4                   
Vardas929           Pavarde929          1                   8                   10                  
Vardas930           Pavarde930          5                   1                   7                   
Vardas931           Pavarde931          6                   5                   9                   
Vardas932           Pavarde932          4                   9                   6                   
Vardas933           Pavarde933          3                   4                   8                   
Vardas934           Pavarde934          6                   1                   3                   
Vardas935           Pavarde935          4                   8                   10                  
Vardas936           Pavarde936          5                   7                   6                   
Vardas937           Pavarde937          9                   1                   3                   
Vardas938           Pavarde938          8                   2                   4                   
Vardas939           Pavarde939          3                   5                   2                   
Vardas940           Pavarde940          8                   4                   1                   
Vardas941           Pavarde941          8                   10                  6                   
Vardas942           Pavarde942          7                   2                   2                   
Vardas943           Pavarde943          9                   6                   3                   
Vardas944           Pavarde944          3                   4                   4                   
Vardas945           Pavarde945          5                   4                   9                   
Vardas946           Pavarde946          4                   1                   4                   
Vardas947           Pavarde947          4                   10                  7                   
Vardas948           Pavarde948          8                   8                   9                   
Vardas949           Pavarde949          7                   8                   7                   
Vardas950           Pavarde950          8                   10                  1                   
Vardas951           Pavarde951          9                   8                   10                  
Vardas952           Pavarde952          6                   6                   2                   
Vardas953           Pavarde953          4                   6                   7                   
Vardas954           Pavarde954          4                   1                   6                   
Vardas955           Pavarde955          7                   10                  1                   
Vardas956           Pavarde956          2                   4                   8                   
Vardas957           Pavarde957          8                   5                   8                   
Vardas958           Pavarde958          7                   4                   3                   
Vardas959           Pavarde959          2                   3                   2                   
Vardas960           Pavarde960          3                   2                   1                   
Vardas961           Pavarde961          3                   4                   2                   
Vardas962           Pavarde962          8                   6                   4                   
Vardas963           Pavarde963          8                   4                   5                   
Vardas964           Pavarde964          10                  6                   4                   
Vardas965           Pavarde965          6                   7                   8                   
Vardas966           Pavarde966          10                  9                   1                   
Vardas967           Pavarde967          7                   4                   2                   
Vardas968           Pavarde968          6                   7                   9                   
Vardas969           Pavarde969          8                   10                  3                   
Vardas970           Pavarde970          2                   2                   9                   
Vardas971           Pavarde971          5                   4                   8                   
Vardas972           Pavarde972          10                  1                   9                   
Vardas973           Pavarde973          8                   6                   6                   
Vardas974           Pavarde974          1                   8                   1                   
Vardas975           Pavarde975          1                   2                   8                   
Vardas976           Pavarde976          4                   6                   7                   
Vardas977           Pavarde977          7                   10                  10                  
Vardas978           Pavarde978          2                   7                   5                   
Vardas979           Pavarde979          2                   2                   5                   
Vardas980           Pavarde980          3                   4                   6                   
Vardas981           Pavarde981          2                   4                   3                   
Vardas982           Pavarde982          3                   6                   10                  
Vardas983           Pavarde983          4                   3                   8                   
Vardas984           Pavarde984          4                   8                   7                   
Vardas985           Pavarde985          7                   7                   8                   
Vardas986           Pavarde986          8                   3                   3                   
Vardas987           Pavarde987          5                   5                   1                   
Vardas988           Pavarde988          3                   10                  6                   
Vardas989           Pavarde989          1                   1                   4                   
Vardas990           Pavarde990          10                  1                   9                   
Vardas991           Pavarde991          8                   3                   1                   
Vardas992           Pavarde992          6                   10                  7                   
Vardas993           Pavarde993          7                   3                   6                   
Vardas994           Pavarde994          4                   1                   1                   
Vardas995           Pavarde995          10                  4                   4                   
Vardas996           Pavarde996          8                   10                  2                   
Vardas997           Pavarde997          4                   7                   6                   
Vardas998           Pavarde998          9                   4                   8                   
Vardas999           Pavarde999          5                   7                   1                   
Vardas1000          Pavarde1000         8                   7                   1                   
